,Price,Carrier,Direct,Destination,Flight Date,Distance in miles
0,249.0,Alaska Airlines,True,New York,2019-12-17,2448.740097069576
1,166.0,Spirit Airlines,False,New York,2019-12-17,2448.740097069576
2,172.0,Frontier Airlines,False,New York,2019-12-24,2448.740097069576
3,214.0,United,True,New York,2019-12-24,2448.740097069576
4,235.0,Spirit Airlines,False,New York,2019-12-31,2448.740097069576
5,289.0,United,True,New York,2019-12-31,2448.740097069576
6,99.0,Alaska Airlines,True,New York,2020-01-07,2448.740097069576
7,91.0,Frontier Airlines,False,New York,2020-01-14,2448.740097069576
8,99.0,Alaska Airlines,True,New York,2020-01-14,2448.740097069576
9,99.0,Alaska Airlines,True,New York,2020-01-21,2448.740097069576
10,99.0,Alaska Airlines,True,New York,2020-01-28,2448.740097069576
11,81.0,Frontier Airlines,False,New York,2020-01-28,2448.740097069576
12,99.0,United,True,New York,2020-02-04,2448.740097069576
13,78.0,Frontier Airlines,False,New York,2020-02-04,2448.740097069576
14,93.0,Frontier Airlines,False,New York,2020-02-11,2448.740097069576
15,99.0,Alaska Airlines,True,New York,2020-02-11,2448.740097069576
16,99.0,United,True,New York,2020-02-18,2448.740097069576
17,89.0,Spirit Airlines,False,New York,2020-02-18,2448.740097069576
18,99.0,United,True,New York,2020-02-25,2448.740097069576
19,89.0,Spirit Airlines,False,New York,2020-02-25,2448.740097069576
20,89.0,Spirit Airlines,False,New York,2020-03-03,2448.740097069576
21,99.0,Alaska Airlines,True,New York,2020-03-03,2448.740097069576
22,99.0,Alaska Airlines,True,New York,2020-03-10,2448.740097069576
23,132.0,Alaska Airlines,True,New York,2020-03-17,2448.740097069576
24,132.0,Alaska Airlines,True,New York,2020-03-24,2448.740097069576
25,132.0,Alaska Airlines,True,New York,2020-03-31,2448.740097069576
26,168.0,United,True,New York,2020-04-07,2448.740097069576
27,145.0,jetBlue,False,New York,2020-04-07,2448.740097069576
28,188.0,United,True,New York,2020-04-14,2448.740097069576
29,132.0,Alaska Airlines,True,New York,2020-04-21,2448.740097069576
30,132.0,Alaska Airlines,True,New York,2020-04-28,2448.740097069576
31,132.0,Alaska Airlines,True,New York,2020-05-05,2448.740097069576
32,138.0,Alaska Airlines,True,New York,2020-05-12,2448.740097069576
33,132.0,Alaska Airlines,True,New York,2020-05-19,2448.740097069576
34,174.0,Alaska Airlines,True,New York,2020-05-26,2448.740097069576
35,132.0,Alaska Airlines,True,New York,2020-06-02,2448.740097069576
36,169.0,United,True,New York,2020-06-16,2448.740097069576
37,168.0,United,True,New York,2020-06-23,2448.740097069576
38,175.0,Alaska Airlines,True,New York,2020-06-30,2448.740097069576
39,174.0,Alaska Airlines,True,New York,2020-07-07,2448.740097069576
40,132.0,United,True,New York,2020-07-14,2448.740097069576
41,132.0,United,True,New York,2020-07-21,2448.740097069576
42,161.0,Sun Country Airlines,False,New York,2020-07-28,2448.740097069576
43,168.0,United,True,New York,2020-07-28,2448.740097069576
44,167.0,United,True,New York,2020-08-04,2448.740097069576
45,162.0,Sun Country Airlines,False,New York,2020-08-04,2448.740097069576
46,169.0,United,True,New York,2020-08-11,2448.740097069576
47,162.0,Sun Country Airlines,False,New York,2020-08-11,2448.740097069576
48,162.0,Sun Country Airlines,False,New York,2020-08-18,2448.740097069576
49,337.0,United,True,New York,2020-08-18,2448.740097069576
50,133.0,United,True,New York,2020-08-25,2448.740097069576
51,132.0,United,True,New York,2020-09-01,2448.740097069576
52,167.0,United,True,New York,2020-09-08,2448.740097069576
53,145.0,Alaska Airlines,True,New York,2020-09-15,2448.740097069576
54,169.0,United,True,New York,2020-09-29,2448.740097069576
55,132.0,United,True,New York,2020-10-06,2448.740097069576
56,133.0,Alaska Airlines,True,New York,2020-10-13,2448.740097069576
57,168.0,United,True,New York,2020-10-27,2448.740097069576
58,1504.0,United,True,New York,2020-11-03,2448.740097069576
59,1096.0,United,False,New York,2020-11-03,2448.740097069576
0,105.0,Alaska Airlines,True,Salt Lake City,2019-12-17,2448.740097069576
1,144.0,Alaska Airlines,True,Salt Lake City,2019-12-24,2448.740097069576
