,Price,Carrier,Direct,Destination,Flight Date,Distance in miles
0,800.0,Alaska Airlines,False,Frankfurt,2019-12-17,5791.351450988248
1,1791.0,Air New Zealand,True,Frankfurt,2019-12-17,5791.351450988248
2,492.0,Alaska Airlines,False,Frankfurt,2019-12-24,5791.351450988248
3,1000.0,Air New Zealand,True,Frankfurt,2019-12-31,5791.351450988248
4,389.0,Norwegian,False,Frankfurt,2019-12-31,5791.351450988248
5,1000.0,Air New Zealand,True,Frankfurt,2020-01-07,5791.351450988248
6,383.0,Norwegian,False,Frankfurt,2020-01-07,5791.351450988248
7,908.0,Lufthansa,True,Frankfurt,2020-01-14,5791.351450988248
8,225.0,Norwegian,False,Frankfurt,2020-01-14,5791.351450988248
9,998.0,Air New Zealand,True,Frankfurt,2020-01-21,5791.351450988248
10,245.0,Condor,False,Frankfurt,2020-01-28,5791.351450988248
11,3050.0,United,True,Frankfurt,2020-01-28,5791.351450988248
12,993.0,Air New Zealand,True,Frankfurt,2020-02-04,5791.351450988248
13,212.0,Norwegian,False,Frankfurt,2020-02-04,5791.351450988248
14,215.0,Norwegian,False,Frankfurt,2020-02-11,5791.351450988248
15,3050.0,United,True,Frankfurt,2020-02-11,5791.351450988248
16,196.0,Norwegian,False,Frankfurt,2020-02-18,5791.351450988248
17,932.0,Lufthansa,True,Frankfurt,2020-02-18,5791.351450988248
18,215.0,Norwegian,False,Frankfurt,2020-02-25,5791.351450988248
19,931.0,Lufthansa,True,Frankfurt,2020-02-25,5791.351450988248
20,226.0,Norwegian,False,Frankfurt,2020-03-03,5791.351450988248
21,245.0,Condor,False,Frankfurt,2020-03-10,5791.351450988248
22,226.0,Norwegian,False,Frankfurt,2020-03-17,5791.351450988248
23,1001.0,Air New Zealand,True,Frankfurt,2020-03-17,5791.351450988248
24,932.0,Lufthansa,True,Frankfurt,2020-03-24,5791.351450988248
25,221.0,Norwegian,False,Frankfurt,2020-03-24,5791.351450988248
26,224.0,Norwegian,False,Frankfurt,2020-03-31,5791.351450988248
27,1037.0,Lufthansa,True,Frankfurt,2020-03-31,5791.351450988248
28,297.0,Norwegian,False,Frankfurt,2020-04-07,5791.351450988248
29,1114.0,Air New Zealand,True,Frankfurt,2020-04-07,5791.351450988248
30,1111.0,Air New Zealand,True,Frankfurt,2020-04-14,5791.351450988248
31,361.0,Norwegian,False,Frankfurt,2020-04-14,5791.351450988248
