,Price,Carrier,Direct,Destination,Flight Date,Distance in miles
0,77.0,Spirit Airlines,True,New Orleans,2019-12-17,1667.5190461192294
1,156.0,Spirit Airlines,True,New Orleans,2019-12-24,1667.5190461192294
2,97.0,Southwest Airlines,False,New Orleans,2019-12-24,1667.5190461192294
3,162.0,Spirit Airlines,True,New Orleans,2019-12-31,1667.5190461192294
4,139.0,Spirit Airlines,False,New Orleans,2019-12-31,1667.5190461192294
5,86.0,Spirit Airlines,True,New Orleans,2020-01-07,1667.5190461192294
6,71.0,Spirit Airlines,False,New Orleans,2020-01-14,1667.5190461192294
7,77.0,Spirit Airlines,True,New Orleans,2020-01-14,1667.5190461192294
8,77.0,Spirit Airlines,True,New Orleans,2020-01-21,1667.5190461192294
9,70.0,Spirit Airlines,False,New Orleans,2020-01-21,1667.5190461192294
10,70.0,Spirit Airlines,False,New Orleans,2020-01-28,1667.5190461192294
11,77.0,Spirit Airlines,True,New Orleans,2020-01-28,1667.5190461192294
12,77.0,Spirit Airlines,True,New Orleans,2020-02-04,1667.5190461192294
13,71.0,Spirit Airlines,False,New Orleans,2020-02-04,1667.5190461192294
14,70.0,Spirit Airlines,False,New Orleans,2020-02-11,1667.5190461192294
15,77.0,Spirit Airlines,True,New Orleans,2020-02-11,1667.5190461192294
16,92.0,Spirit Airlines,True,New Orleans,2020-02-18,1667.5190461192294
17,87.0,United,False,New Orleans,2020-02-18,1667.5190461192294
18,92.0,Spirit Airlines,True,New Orleans,2020-02-25,1667.5190461192294
19,88.0,United,False,New Orleans,2020-02-25,1667.5190461192294
20,81.0,Spirit Airlines,False,New Orleans,2020-03-03,1667.5190461192294
21,113.0,United,False,New Orleans,2020-03-10,1667.5190461192294
22,275.0,Spirit Airlines,True,New Orleans,2020-03-17,1667.5190461192294
23,174.0,Alaska Airlines,False,New Orleans,2020-03-17,1667.5190461192294
24,276.0,Spirit Airlines,True,New Orleans,2020-03-24,1667.5190461192294
25,174.0,Alaska Airlines,False,New Orleans,2020-03-24,1667.5190461192294
26,278.0,Spirit Airlines,True,New Orleans,2020-03-31,1667.5190461192294
27,144.0,United,False,New Orleans,2020-03-31,1667.5190461192294
28,113.0,United,False,New Orleans,2020-04-07,1667.5190461192294
29,279.0,Spirit Airlines,True,New Orleans,2020-04-07,1667.5190461192294
30,281.0,Spirit Airlines,True,New Orleans,2020-04-14,1667.5190461192294
31,174.0,United,False,New Orleans,2020-04-14,1667.5190461192294
32,114.0,United,False,New Orleans,2020-04-21,1667.5190461192294
33,333.0,Spirit Airlines,True,New Orleans,2020-04-21,1667.5190461192294
34,220.0,Spirit Airlines,False,New Orleans,2020-04-28,1667.5190461192294
35,276.0,Spirit Airlines,True,New Orleans,2020-04-28,1667.5190461192294
36,83.0,Spirit Airlines,False,New Orleans,2020-05-12,1667.5190461192294
37,103.0,Spirit Airlines,True,New Orleans,2020-05-12,1667.5190461192294
38,102.0,Spirit Airlines,True,New Orleans,2020-05-19,1667.5190461192294
39,79.0,Spirit Airlines,False,New Orleans,2020-05-19,1667.5190461192294
40,102.0,Spirit Airlines,True,New Orleans,2020-06-02,1667.5190461192294
41,103.0,Spirit Airlines,True,New Orleans,2020-06-09,1667.5190461192294
42,149.0,United,False,New Orleans,2020-06-23,1667.5190461192294
43,148.0,United,False,New Orleans,2020-06-30,1667.5190461192294
44,148.0,United,False,New Orleans,2020-07-07,1667.5190461192294
45,148.0,United,False,New Orleans,2020-07-14,1667.5190461192294
46,148.0,United,False,New Orleans,2020-07-28,1667.5190461192294
47,174.0,Alaska Airlines,False,New Orleans,2020-08-18,1667.5190461192294
48,113.0,United,False,New Orleans,2020-08-25,1667.5190461192294
